"SITE","SURVEYID","OBS","DATE","TEMP","WINDS_0","WINDD","TRSCT","SECTION","WINDS","COMMENTS","s_dtime","e_dtime","FLAG","UNK","SOPPIP","COMPIP","MYOTI","PIP","DUNNO","PAUR","NOCTU","NOISE","test"
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,500,0,"Turbine(s) spinning",2014-08-04 22:43:55,2014-08-04 22:46:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,600,0,"Turbine(s) spinning",2014-08-04 22:46:25,2014-08-04 22:50:34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,0,0.8,"Turbine(s) spinning",2014-08-04 21:44:11,2014-08-04 21:46:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46666666666667
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,100,0,"Turbine(s) spinning",2014-08-04 21:46:39,2014-08-04 21:49:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63333333333333
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,200,0,"Turbine(s) spinning",2014-08-04 21:49:17,2014-08-04 21:51:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,300,0.6,"Turbine(s) spinning",2014-08-04 21:51:56,2014-08-04 21:54:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,400,0,"Turbine(s) spinning",2014-08-04 21:54:38,2014-08-04 21:57:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61666666666667
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,500,1.9,"Turbine(s) spinning",2014-08-04 21:57:15,2014-08-04 21:59:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,3,0,0.4,"Turbine(s) spinning",2014-08-04 22:05:03,2014-08-04 22:08:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,3,100,0,"Turbine(s) spinning",2014-08-04 22:08:06,2014-08-04 22:10:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53333333333333
