"SITE","SURVEYID","OBS","DATE","TEMP","WINDS_0","WINDD","TRSCT","SECTION","WINDS","COMMENTS","s_dtime","e_dtime","FLAG","UNK","SOPPIP","COMPIP","MYOTI","PIP","DUNNO","PAUR","NOCTU","NOISE"
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,2,100,0,"Turbine(s) not spinning",2014-08-27 21:36:42,2014-08-27 21:39:50,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,2,200,0,"Turbine(s) not spinning",2014-08-27 21:39:50,2014-08-27 21:43:09,0,0,1,5,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,2,300,0.3,"Turbine(s) not spinning",2014-08-27 21:43:09,2014-08-27 21:46:36,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,2,400,0.7,"Turbine(s) not spinning",2014-08-27 21:46:36,2014-08-27 21:49:46,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,2,500,0,"Turbine(s) not spinning",2014-08-27 21:49:46,2014-08-27 21:53:13,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,3,0,0,"Turbine(s) not spinning",2014-08-27 22:01:50,2014-08-27 22:04:36,0,0,1,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,3,100,0,"Turbine(s) not spinning",2014-08-27 22:04:36,2014-08-27 22:07:17,0,0,0,1,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,3,200,0,"Turbine(s) not spinning",2014-08-27 22:07:17,2014-08-27 22:09:44,0,0,4,1,0,0,1,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,3,300,0.3,"Turbine(s) not spinning",2014-08-27 22:09:44,2014-08-27 22:12:24,0,0,5,1,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,3,400,3.5,"Turbine(s) not spinning",2014-08-27 22:12:24,2014-08-27 22:14:08,0,0,0,3,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,3,500,2.4,"Turbine(s) not spinning",2014-08-27 22:14:08,2014-08-27 22:16:54,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,4,0,0,"Turbine(s) spinning",2014-08-27 22:24:16,2014-08-27 22:27:19,0,0,0,1,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,4,100,0.1,"Turbine(s) spinning",2014-08-27 22:27:19,2014-08-27 22:29:51,0,0,1,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,4,200,0,"Turbine(s) spinning",2014-08-27 22:29:51,2014-08-27 22:32:56,0,0,0,11,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,4,300,0,"Turbine(s) spinning",2014-08-27 22:32:56,2014-08-27 22:36:26,0,0,2,5,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,4,400,0,"Turbine(s) spinning",2014-08-27 22:36:26,2014-08-27 22:39:09,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,4,500,0,"Turbine(s) spinning",2014-08-27 22:39:09,2014-08-27 22:42:10,0,0,0,1,0,1,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-2","MG",2014-08-27,10,NA,NA,4,600,1.3,"Turbine(s) spinning",2014-08-27 22:42:10,2014-08-27 22:45:40,0,0,0,0,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,1,0,1.4,"Turbine(s) spinning",2014-08-05 21:38:47,2014-08-05 21:41:32,0,0,0,0,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,1,100,0.9,"Turbine(s) spinning",2014-08-05 21:41:32,2014-08-05 21:44:53,0,0,0,0,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,1,200,1.9,"Turbine(s) spinning",2014-08-05 21:44:53,2014-08-05 21:47:30,0,0,0,1,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,1,300,0.7,"Turbine(s) spinning",2014-08-05 21:47:30,2014-08-05 21:50:26,0,0,0,0,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,1,400,1.5,"Turbine(s) spinning",2014-08-05 21:50:26,2014-08-05 21:53:51,0,0,0,0,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,1,500,0.6,"Turbine(s) spinning",2014-08-05 21:53:51,2014-08-05 21:56:47,0,0,0,0,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,1,600,0.8,"Turbine(s) spinning",2014-08-05 21:56:47,2014-08-05 22:00:12,0,0,0,0,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,2,0,0.8,"Turbine(s) spinning",2014-08-05 22:09:15,2014-08-05 22:11:57,0,0,0,0,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,2,100,1.5,"Turbine(s) spinning",2014-08-05 22:11:57,2014-08-05 22:14:43,0,0,0,2,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,2,200,2.8,"Turbine(s) spinning",2014-08-05 22:14:43,2014-08-05 22:17:30,0,0,0,0,0,1,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,2,300,2.3,"Turbine(s) spinning",2014-08-05 22:17:30,2014-08-05 22:20:13,0,0,0,1,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,2,400,2.8,"Turbine(s) spinning",2014-08-05 22:20:13,2014-08-05 22:22:54,0,0,0,0,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,2,500,3.3,"Turbine(s) spinning",2014-08-05 22:22:54,2014-08-05 22:25:36,0,0,0,0,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,2,600,1.2,"Turbine(s) spinning",2014-08-05 22:25:36,2014-08-05 22:28:38,0,0,0,2,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,2,700,2.3,"Turbine(s) spinning",2014-08-05 22:28:38,2014-08-05 22:31:40,0,0,0,0,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,3,0,0.5,"Turbine(s) spinning",2014-08-05 23:09:17,2014-08-05 23:11:39,0,0,0,2,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,3,100,1.7,"Turbine(s) spinning",2014-08-05 23:11:39,2014-08-05 23:14:55,0,0,0,0,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,3,200,1.5,"Turbine(s) spinning",2014-08-05 23:14:55,2014-08-05 23:17:32,0,0,2,1,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,3,300,0.8,"Turbine(s) spinning",2014-08-05 23:17:32,2014-08-05 23:20:23,0,0,0,0,0,1,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,3,400,0.4,"Turbine(s) spinning",2014-08-05 23:20:23,2014-08-05 23:23:03,0,0,0,0,0,0,0,0,0,0
"Bogbank","Bogbank-1","MG",2014-08-05,14.5,NA,NA,3,500,0.9,"Turbine(s) spinning",2014-08-05 23:23:03,2014-08-05 23:26:53,0,0,0,0,0,0,0,0,0,0
