"SITE","SURVEYID","OBS","DATE","TEMP","WINDS_0","WINDD","TRSCT","SECTION","WINDS","COMMENTS","s_dtime","e_dtime","FLAG","UNK","SOPPIP","COMPIP","MYOTI","PIP","DUNNO","PAUR","NOCTU","NOISE","fSECTION","DAYNO","TTMIDN","NOTURB","PASSES","ALL_PIPS","ALL_OTHER","pBUILD","pTREE","pRDTRK","pROADS","pRGRAS","EDGED","D_LIN","D_BUI","D_WAT","D_TRE","PC1a","PC2a","PC3a","PC4a","AREA_M2","AREA_ha","MID_X","MID_Y","sWINDS","min_air_temp"
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","W",1,1.4,NA,2013-05-28 22:47:59,2013-05-28 23:03:00,0,0,0,0,0,0,0,0,0,0,"1",147,-72.0166666666667,3,0,0,0,0,0,0,0,0,0.0221721398020592,23.7116728873255,104.551782242081,23.8681196004446,409.682350239544,-1.0280066253284,0.63769966087011,-0.599967872294213,0.535750448518264,13590.93,1.359093,351805.618688926,683511.620706833,0.598505551791771,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","W",1,1.4,NA,2013-05-28 22:47:59,2013-05-28 23:03:00,0,0,0,0,0,0,0,0,0,0,"1",147,-72.0166666666667,3,0,0,0,0,0,0,0,0,0.0221721398020592,23.7116728873255,104.551782242081,23.8681196004446,409.682350239544,-1.0280066253284,0.63769966087011,-0.599967872294213,0.535750448518264,13590.93,1.359093,351805.618688926,683511.620706833,-0.459094620049109,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","W",2,1.4,NA,2013-05-28 22:47:59,2013-05-28 23:03:00,0,0,0,0,0,0,0,0,0,0,"2",147,-72.0166666666667,3,0,0,0,0.00583474347861285,0,0,0,0,0.0394590570817595,15.8203579269335,84.6025351922784,70.229438892173,342.120954123746,-0.315432800004114,0.504680230792947,-0.865638645572759,0.401888795272842,15193.47,1.519347,351691.144200217,683536.969982666,0.598505551791771,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","W",2,1.4,NA,2013-05-28 22:47:59,2013-05-28 23:03:00,0,0,0,0,0,0,0,0,0,0,"2",147,-72.0166666666667,3,0,0,0,0.00583474347861285,0,0,0,0,0.0394590570817595,15.8203579269335,84.6025351922784,70.229438892173,342.120954123746,-0.315432800004114,0.504680230792947,-0.865638645572759,0.401888795272842,15193.47,1.519347,351691.144200217,683536.969982666,-0.459094620049109,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","W",3,1.4,NA,2013-05-28 22:47:59,2013-05-28 23:03:00,0,0,0,0,0,0,0,0,0,0,"3",147,-72.0166666666667,3,0,0,0,0,0,0,0,0,0.0203657682213152,22.8800891563951,214.2144946334,192.619569521393,390.814134626027,-1.33897651046963,0.997284249331318,-0.190639140510164,0.128902922635839,11476.12,1.147612,351585.97008781,683455.253339734,0.598505551791771,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","W",3,1.4,NA,2013-05-28 22:47:59,2013-05-28 23:03:00,0,0,0,0,0,0,0,0,0,0,"3",147,-72.0166666666667,3,0,0,0,0,0,0,0,0,0.0203657682213152,22.8800891563951,214.2144946334,192.619569521393,390.814134626027,-1.33897651046963,0.997284249331318,-0.190639140510164,0.128902922635839,11476.12,1.147612,351585.97008781,683455.253339734,-0.459094620049109,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","W",4,0.8,NA,2013-05-28 22:47:59,2013-05-28 23:03:00,0,0,0,0,0,0,0,0,0,0,"4",147,-72.0166666666667,3,0,0,0,0,0,0,0,0,0,91.7620346994755,321.047314175505,301.565880298614,390.120594520345,-3.43157214650399,1.65802468437417,0.279176042567224,-0.447051037221565,10398.78,1.039878,351495.740747398,683391.777040537,0.0216327307876544,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","W",4,0.8,NA,2013-05-28 22:47:59,2013-05-28 23:03:00,0,0,0,0,0,0,0,0,0,0,"4",147,-72.0166666666667,3,0,0,0,0,0,0,0,0,0,91.7620346994755,321.047314175505,301.565880298614,390.120594520345,-3.43157214650399,1.65802468437417,0.279176042567224,-0.447051037221565,10398.78,1.039878,351495.740747398,683391.777040537,-0.459094620049109,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","W",5,0,NA,2013-05-28 22:47:59,2013-05-28 23:03:00,0,0,0,0,0,0,0,0,0,0,"5",147,-72.0166666666667,3,0,0,0,0,0,0,0,0,0,190.972471402989,348.027069067741,400.183154671541,336.991883920911,-5.43152109274728,2.32388812919294,0.406530161225792,-1.18354491696608,10151.86,1.015186,351407.958244544,683338.198898445,-0.747531030551167,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","W",5,0,NA,2013-05-28 22:47:59,2013-05-28 23:03:00,0,0,0,0,0,0,0,0,0,0,"5",147,-72.0166666666667,3,0,0,0,0,0,0,0,0,0,190.972471402989,348.027069067741,400.183154671541,336.991883920911,-5.43152109274728,2.32388812919294,0.406530161225792,-1.18354491696608,10151.86,1.015186,351407.958244544,683338.198898445,-0.747531030551167,8.7
"East Fenton","East Fenton-1","JM",2013-05-29,"13","2.7","unk","E",1,0,NA,2013-05-29 00:53:00,2013-05-29 01:05:00,0,0,0,0,0,0,0,0,0,0,"1",148,53,2,0,0,0,0,0,0.0703102830868597,0.0320503644997577,0,0.0430449980789369,16.8960852522335,132.9243715135,480.381364038121,234.06002157186,0.880718410856356,1.86428803153723,0.610157761647759,-0.655382331033672,15928.68,1.592868,352158.360367119,682199.979910591,-1.33040226366336,6.8
