ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
01/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10,3, , ,6,6, , , 2014-03-03 09:59,0, , , ,
02/03/2014 09:00, DCNN,6297,24,0, DLY3208,963,1012,10,-1.2, , ,1,1, , , 2014-03-03 10:00,0, , , ,
02/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10,-1.2, , ,1,1, , , 2014-03-03 10:00,0, , , ,
02/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1022,10,1.2, , ,6,2006, , , 2014-06-10 09:26,0, , , ,
03/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7.9,2.5, , ,1,1, , , 2014-03-03 10:01,0, , , ,
03/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7.9,2.5, , ,6,6, , , 2014-03-03 10:01,0, , , ,
04/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9.6,2.8, , ,1,1, , , 2014-03-04 09:40,0, , , ,
04/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9.6,2.8, , ,6,6, , , 2014-03-04 09:40,0, , , ,
05/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10.8,4.9, , ,1,1, , , 2014-03-05 10:14,0, , , ,
05/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10.8,4.9, , ,6,6, , , 2014-03-05 10:14,0, , , ,
06/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10.2,6.6, , ,1,1, , , 2014-03-06 09:11,0, , , ,
06/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10.2,6.6, , ,6,6, , , 2014-03-06 09:11,0, , , ,
07/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10.1,6.2, , ,1,1, , , 2014-03-07 09:32,0, , , ,
07/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10.1,6.2, , ,6,6, , , 2014-03-07 09:32,0, , , ,
08/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8,3, , ,1,1, , , 2014-03-10 09:29,0, , , ,
08/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8,3, , ,6,6, , , 2014-03-10 09:29,0, , , ,
09/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10.2,7, , ,1,1, , , 2014-03-10 09:30,0, , , ,
