"id","pBUILD","pTREE","pRDTRK","pROADS","pRGRAS","EDGED","D_LIN","D_BUI","D_WAT","D_TRE","PC1a","PC2a","PC3a","PC4a","AREA_M2"
"Mosshouses-NE-3",0,0,0,0,0,0.0038090954755252,41.9117149303093,242.813002430691,156.696110149714,111.963519222309,-1.64959449902725,-0.209475685226359,-0.200807294297704,-0.414988563990812,11606.43
"Mosshouses-NE-4",0,0,0,0,0,0.0190866474309776,15.872880405789,330.276238782459,182.697503249072,130.675059417566,-1.0718574209268,-0.268187919561895,0.0872311037003586,-0.135701154610107,10019.57
"Mosshouses-NE-5",0,0,0,0,0,0.0239563299015726,12.1887413827102,374.967676092477,211.125779385525,162.503707320601,-1.07141347421083,-0.0997940866356837,0.258262194943557,-0.0540605532498086,353.56
"Mosshouses-SW-1",0,0,0,0,0,0.010174723017303,36.7875540238002,209.771836287752,141.940260491422,114.934179770629,-1.33634966413952,-0.244439846875286,-0.334905694345375,-0.350608296494985,13464.74
"Mosshouses-SW-2",0,0,0,0,0,0.00706934079035157,36.4109546563121,128.612434202024,124.394942906952,66.6263546850167,-1.10515532556455,-0.442008601386869,-0.65058772303869,-0.522462898651471,10971.32
"Mosshouses-SW-3",0.0284899785152096,0.280216921519904,0.0447515748673998,0.0254722722789195,0.0214450095552345,0.0910148219681747,7.58311643848768,40.5829865878624,129.321254062645,13.5020368699665,2.89375288165612,-1.28677814720337,-0.614097688758844,-0.693149269789928,31924.91
"Mosshouses-SW-4",0,0.162548718869674,0.0425383077139626,0.024244766513452,0.0316533109416636,0.0481303602890855,16.8476872556808,134.500689110819,315.955117894144,23.182482345366,1.09115239348902,-0.422586438153922,0.270042388701126,-1.08706773174079,16482.32
"Mosshouses-SW-5",0,0.847527583695271,0.0383123364536405,0.0152337532709272,0.0185222153281718,0.0423966117240821,14.7325818631305,220.428126081687,311.057375827182,0.998947257209652,1.42429426628056,-3.28291715577027,1.23752569207539,-3.5151757855268,3706.9
"Nisbet Hill-N-1",0,0,0,0,0,0.011139397759575,23.3159372117301,241.383740739499,182.734366301544,168.192647099513,-1.22608251139948,0.00275179374041232,-0.195374456489566,-0.27554036871126,13072.52
"Nisbet Hill-N-2",0,0,0,0,0,0.0110955185214017,23.2177449389142,330.367014542803,63.4775688988439,159.603979359316,-1.3935929357584,-0.483331596348219,0.107603015804893,0.206715629665846,14258.91
